task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
49	36/0015c2	4562506	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_037_71_LivCan_321_037.mzML)	COMPLETED	0	2021-06-14 16:44:11.243	34.7s	19.5s	96,2%	427.6 MB	967 MB	193.1 MB	141.9 KB
42	b6/46509c	4562507	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_028_42_LivCan_014_028.mzML)	COMPLETED	0	2021-06-14 16:44:11.267	34.7s	20.1s	96,2%	422.8 MB	958.2 MB	190 MB	140.7 KB
43	03/a5e281	4562508	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_027_42_LivCan_013_027.mzML)	COMPLETED	0	2021-06-14 16:44:11.293	34.7s	20.1s	97,2%	440.3 MB	976 MB	199.4 MB	140.4 KB
46	bf/7989ec	4562509	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_034_22_LivCan_340_034.mzML)	COMPLETED	0	2021-06-14 16:44:11.318	34.7s	20.1s	95,8%	423.4 MB	955.3 MB	190.9 MB	132.7 KB
31	5e/242ea8	4562510	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_008_41_LivCan_154_008.mzML)	COMPLETED	0	2021-06-14 16:44:11.343	34.7s	20.1s	97,9%	437.8 MB	967.2 MB	202.1 MB	146.6 KB
63	b6/0ab6f2	4562511	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_054_33_LivCan_220_054.mzML)	COMPLETED	0	2021-06-14 16:44:11.376	34.6s	18.6s	98,2%	427.6 MB	955.6 MB	186.1 MB	133.7 KB
45	86/52bff1	4562512	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_033_22_LivCan_339_033.mzML)	COMPLETED	0	2021-06-14 16:44:11.402	34.6s	19.5s	98,3%	429.9 MB	970.2 MB	191.9 MB	136.2 KB
26	93/da39e0	4562515	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_276_QC41_276.mzML)	COMPLETED	0	2021-06-14 16:44:11.473	34.6s	19.7s	98,2%	458.5 MB	960.1 MB	196.1 MB	153.4 KB
41	87/a50b94	4562528	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_024_41_LivCan_263_024.mzML)	COMPLETED	0	2021-06-14 16:44:11.760	1m 4s	19.6s	98,3%	436.6 MB	975.1 MB	200.8 MB	139.9 KB
78	0b/2122b7	4562529	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_086_71_LivCan_118_086.mzML)	COMPLETED	0	2021-06-14 16:44:11.780	1m 4s	19.5s	93,2%	418.7 MB	961.1 MB	184.4 MB	139.1 KB
64	0c/491ab9	4562530	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_060_92_LivCan_336_060.mzML)	COMPLETED	0	2021-06-14 16:44:11.805	1m 4s	18.5s	98,2%	441.7 MB	958.2 MB	185.7 MB	132.9 KB
52	16/a6f8c5	4562531	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_043_35_LivCan_238_043.mzML)	COMPLETED	0	2021-06-14 16:44:11.824	1m 4s	18.7s	98,2%	438.2 MB	965.7 MB	188.9 MB	132.5 KB
17	04/a060ce	4562532	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_176_QC41_176.mzML)	COMPLETED	0	2021-06-14 16:44:11.843	1m 4s	19.8s	98,4%	429.9 MB	971.2 MB	193.7 MB	150.1 KB
81	18/2f0ec3	4562533	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_090_32_LivCan_249_090.mzML)	COMPLETED	0	2021-06-14 16:44:11.863	1m 4s	18.3s	98,2%	433.3 MB	964 MB	191.3 MB	138.1 KB
3	04/8548e9	4562534	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_101_Blank_101.mzML)	COMPLETED	0	2021-06-14 16:44:11.883	1m 4s	16.8s	98,0%	441.4 MB	955.6 MB	186.8 MB	104.9 KB
73	d0/a0abf9	4562535	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_079_91_LivCan_041_079.mzML)	COMPLETED	0	2021-06-14 16:44:11.903	1m 4s	18.7s	98,2%	420.7 MB	953.4 MB	185.1 MB	132.4 KB
61	c1/11f78a	4562536	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_050_71_LivCan_027_050.mzML)	COMPLETED	0	2021-06-14 16:44:11.923	1m 4s	19.3s	98,3%	422.4 MB	968.8 MB	189.7 MB	139 KB
30	8a/03e31e	4562537	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_009_41_LivCan_267_009.mzML)	COMPLETED	0	2021-06-14 16:44:11.942	1m 4s	19.9s	98,3%	463.5 MB	965.4 MB	200.3 MB	148 KB
28	64/f5ee10	4562513	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_292_QC41_292.mzML)	COMPLETED	0	2021-06-14 16:44:11.425	1m 10s	20.5s	93,4%	458.8 MB	966.9 MB	196.3 MB	141.8 KB
62	f1/8ce39c	4562514	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_059_92_LivCan_335_059.mzML)	COMPLETED	0	2021-06-14 16:44:11.450	1m 10s	23.6s	76,9%	437.1 MB	957.1 MB	186.6 MB	132.4 KB
32	18/3d2cda	4562516	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_010_41_LivCan_268_010.mzML)	COMPLETED	0	2021-06-14 16:44:11.497	1m 9s	21.1s	98,3%	456.5 MB	970 MB	195.3 MB	160.4 KB
54	76/0b9228	4562517	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_046_71_LivCan_069_046.mzML)	COMPLETED	0	2021-06-14 16:44:11.521	1m 9s	19.4s	98,3%	424.7 MB	965 MB	188.8 MB	155 KB
55	f0/8d280d	4562518	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_045_34_LivCan_172_045.mzML)	COMPLETED	0	2021-06-14 16:44:11.545	1m 9s	18.9s	98,2%	425.7 MB	961.4 MB	191.8 MB	137.7 KB
57	05/26f676	4562519	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_048_91_LivCan_151_048.mzML)	COMPLETED	0	2021-06-14 16:44:11.565	1m 9s	18.4s	96,6%	451.8 MB	962.3 MB	187.6 MB	131.1 KB
59	76/68aae0	4562520	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_053_33_LivCan_219_053.mzML)	COMPLETED	0	2021-06-14 16:44:11.593	1m 9s	19.3s	98,3%	436 MB	974.7 MB	194.9 MB	141 KB
35	90/b00860	4562521	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_018_22_LivCan_085_018.mzML)	COMPLETED	0	2021-06-14 16:44:11.614	1m 9s	19.8s	98,3%	427.3 MB	966.3 MB	193.2 MB	133.3 KB
14	2d/a7a609	4562522	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_126_QC41_126.mzML)	COMPLETED	0	2021-06-14 16:44:11.638	1m 9s	20.7s	98,4%	427 MB	966.5 MB	193.2 MB	166.2 KB
34	eb/51712b	4562523	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_015_21_LivCan_300_015.mzML)	COMPLETED	0	2021-06-14 16:44:11.659	1m 9s	19.2s	98,3%	459.8 MB	964.7 MB	197.6 MB	137 KB
9	93/be378e	4562524	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_063_QC41_063.mzML)	COMPLETED	0	2021-06-14 16:44:11.681	1m 9s	19.5s	98,3%	423.4 MB	964.3 MB	190 MB	147.2 KB
67	2e/783a46	4562525	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_070_71_LivCan_217_070.mzML)	COMPLETED	0	2021-06-14 16:44:11.700	1m 9s	19s	96,9%	423.4 MB	959.2 MB	189.7 MB	138.8 KB
71	42/f99314	4562526	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_077_21_LivCan_063_077.mzML)	COMPLETED	0	2021-06-14 16:44:11.719	1m 9s	19.5s	98,3%	434.2 MB	969.8 MB	194.8 MB	134.5 KB
8	a4/b7a41a	4562527	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_051_QC41_051.mzML)	COMPLETED	0	2021-06-14 16:44:11.739	1m 9s	19.8s	98,3%	433.8 MB	969.6 MB	191.3 MB	150.2 KB
10	f0/4ae86e	4562538	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_076_QC41_076.mzML)	COMPLETED	0	2021-06-14 16:44:11.962	1m 9s	19.8s	98,3%	455.1 MB	962.8 MB	191.7 MB	151.5 KB
53	8d/616e5c	4562539	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_044_34_LivCan_171_044.mzML)	COMPLETED	0	2021-06-14 16:44:11.982	1m 14s	19.5s	98,3%	422.8 MB	964.8 MB	190.5 MB	145.3 KB
29	21/b5d153	4562540	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_007_41_LivCan_153_007.mzML)	COMPLETED	0	2021-06-14 16:44:12.004	1m 14s	21.1s	98,4%	442.3 MB	969.2 MB	195.7 MB	149.6 KB
70	01/729852	4562541	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_075_41_LivCan_242_075.mzML)	COMPLETED	0	2021-06-14 16:44:12.024	1m 14s	18.7s	98,2%	437.1 MB	969.4 MB	191.3 MB	133.4 KB
4	c1/0165a1	4562543	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_201_Blank_201.mzML)	COMPLETED	0	2021-06-14 16:44:12.062	1m 14s	15s	97,9%	418 MB	947.3 MB	183.5 MB	87.7 KB
12	48/6b0dda	4562542	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_100_QC41_100.mzML)	COMPLETED	0	2021-06-14 16:44:12.043	1m 19s	19.5s	98,2%	426.8 MB	963.2 MB	193.3 MB	147.6 KB
25	2e/a2a70c	4562544	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_251_QC41_251.mzML)	COMPLETED	0	2021-06-14 16:44:12.081	1m 44s	20.1s	93,4%	432.7 MB	972.2 MB	193.3 MB	144.6 KB
6	ba/728b44	4562545	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_026_QC41_026.mzML)	COMPLETED	0	2021-06-14 16:44:12.101	1m 44s	20.8s	98,4%	457.4 MB	961.2 MB	194.4 MB	158.5 KB
68	44/883459	4562546	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_071_71_LivCan_218_071.mzML)	COMPLETED	0	2021-06-14 16:44:12.120	1m 44s	18.7s	98,2%	430.7 MB	967.8 MB	194.1 MB	138.8 KB
77	e6/1c7529	4562547	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_085_71_LivCan_117_085.mzML)	COMPLETED	0	2021-06-14 16:44:12.140	1m 44s	18.7s	98,2%	421.7 MB	963.7 MB	185.5 MB	141.4 KB
80	09/370178	4562548	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_089_31_LivCan_330_089.mzML)	COMPLETED	0	2021-06-14 16:44:12.162	1m 44s	19.1s	98,2%	432.2 MB	970.1 MB	191.8 MB	136.8 KB
7	35/e751a9	4562549	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_038_QC41_038.mzML)	COMPLETED	0	2021-06-14 16:44:12.182	1m 44s	19.7s	98,0%	433.9 MB	979.5 MB	193.6 MB	151.2 KB
76	38/7f2b3b	4562550	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_082_72_LivCan_312_082.mzML)	COMPLETED	0	2021-06-14 16:44:12.202	1m 44s	18.4s	98,2%	442.3 MB	962 MB	193.9 MB	134.1 KB
60	a7/89d501	4562551	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_052_71_LivCan_028_052.mzML)	COMPLETED	0	2021-06-14 16:44:12.222	1m 44s	19.6s	98,3%	421.9 MB	959.7 MB	188.6 MB	141.1 KB
65	c4/0cb175	4562552	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_066_21_LivCan_283_066.mzML)	COMPLETED	0	2021-06-14 16:44:12.244	1m 44s	18.1s	98,2%	433.2 MB	962.2 MB	185.4 MB	134.1 KB
104	76/265a7a	4562553	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_111_42_LivCan_387_111.mzML)	COMPLETED	0	2021-06-14 16:44:12.265	1m 44s	20.3s	98,3%	419 MB	958.9 MB	185.7 MB	159.8 KB
56	a0/28a342	4562554	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_047_71_LivCan_070_047.mzML)	COMPLETED	0	2021-06-14 16:44:12.288	1m 44s	19.3s	98,2%	424.2 MB	964.8 MB	191.9 MB	142.9 KB
18	25/f09b84	4562555	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_163_QC41_163.mzML)	COMPLETED	0	2021-06-14 16:44:12.311	1m 44s	19.6s	98,3%	457.2 MB	966.4 MB	192.6 MB	150.5 KB
39	c2/d10434	4562556	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_022_72_LivCan_305_022.mzML)	COMPLETED	0	2021-06-14 16:44:12.336	1m 44s	20.6s	98,4%	463.4 MB	976.4 MB	200 MB	145 KB
33	f5/347fe8	4562557	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_014_21_LivCan_299_014.mzML)	COMPLETED	0	2021-06-14 16:44:12.356	1m 44s	18.9s	98,3%	430.3 MB	962.3 MB	194.4 MB	137.8 KB
24	62/277b1f	4562558	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_263_QC41_263.mzML)	COMPLETED	0	2021-06-14 16:44:12.377	1m 44s	19.7s	98,2%	428.8 MB	966.4 MB	193.7 MB	147.9 KB
20	f3/ae2de5	4562559	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_200_QC41_200.mzML)	COMPLETED	0	2021-06-14 16:44:12.404	1m 44s	19.3s	98,3%	428.9 MB	967.2 MB	194 MB	149.5 KB
44	fb/22e50b	4562560	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_025_41_LivCan_264_025.mzML)	COMPLETED	0	2021-06-14 16:44:12.422	1m 44s	19.7s	98,3%	430.2 MB	967.6 MB	193.9 MB	148 KB
107	93/cf3103	4562561	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_115_71_LivCan_048_115.mzML)	COMPLETED	0	2021-06-14 16:44:12.443	1m 44s	19.5s	98,2%	430 MB	967.9 MB	190.1 MB	154.9 KB
23	65/e6ebba	4562562	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_238_QC41_238.mzML)	COMPLETED	0	2021-06-14 16:44:12.462	1m 44s	19.1s	98,2%	427.2 MB	967.2 MB	193.5 MB	135.9 KB
109	87/ef02ab	4562563	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_117_72_LivCan_292_117.mzML)	COMPLETED	0	2021-06-14 16:44:12.482	1m 44s	19.9s	98,3%	459.4 MB	977.1 MB	196.9 MB	153.5 KB
50	65/18d047	4562564	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_039_71_LivCan_322_039.mzML)	COMPLETED	0	2021-06-14 16:44:12.506	1m 44s	19.7s	98,3%	460.6 MB	961.8 MB	199.4 MB	140.8 KB
79	7b/796621	4562565	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_087_31_LivCan_329_087.mzML)	COMPLETED	0	2021-06-14 16:44:12.525	1m 44s	19.7s	98,3%	430.8 MB	961.6 MB	193.8 MB	152.5 KB
2	73/fa35af	4562566	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_001_Blank_001.mzML)	COMPLETED	0	2021-06-14 16:44:12.544	1m 44s	15.7s	97,9%	421.9 MB	956.5 MB	191.5 MB	89.2 KB
51	6d/d89228	4562567	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_042_35_LivCan_237_042.mzML)	COMPLETED	0	2021-06-14 16:44:12.566	2m 18s	18.5s	98,3%	442.5 MB	956.2 MB	184.1 MB	138 KB
47	50/f5211d	4562568	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_035_71_LivCan_313_035.mzML)	COMPLETED	0	2021-06-14 16:44:12.586	2m 18s	19.9s	98,4%	424.3 MB	963.8 MB	190.2 MB	161.3 KB
15	92/9ccce8	4562569	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_138_QC41_138.mzML)	COMPLETED	0	2021-06-14 16:44:12.607	2m 18s	19.6s	97,8%	431 MB	971 MB	192.5 MB	151.9 KB
38	eb/c7fb11	4562570	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_021_25_LivCan_310_021.mzML)	COMPLETED	0	2021-06-14 16:44:12.624	2m 18s	21.6s	98,4%	454.4 MB	986.5 MB	213.9 MB	166.7 KB
22	02/0ce6c7	4562571	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_226_QC41_226.mzML)	COMPLETED	0	2021-06-14 16:44:12.644	2m 18s	20.3s	98,3%	426.3 MB	963.9 MB	193.8 MB	150.8 KB
112	80/4f050d	4562572	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_122_25_LivCan_021_122.mzML)	COMPLETED	0	2021-06-14 16:44:12.666	2m 18s	24.6s	98,6%	492.1 MB	1005 MB	216.4 MB	194.9 KB
75	a8/47d460	4562573	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_081_72_LivCan_311_081.mzML)	COMPLETED	0	2021-06-14 16:44:12.687	2m 18s	18.9s	98,2%	425.2 MB	961 MB	191.4 MB	140.2 KB
37	ed/0d5119	4562574	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_020_25_LivCan_309_020.mzML)	COMPLETED	0	2021-06-14 16:44:12.708	2m 18s	21.5s	98,4%	454.7 MB	980.8 MB	212.1 MB	166.7 KB
58	15/cc1720	4562575	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_049_91_LivCan_152_049.mzML)	COMPLETED	0	2021-06-14 16:44:12.732	2m 18s	18.1s	98,2%	445.5 MB	954.3 MB	187.3 MB	133.3 KB
13	c3/6c0f6d	4562576	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_113_QC41_113.mzML)	COMPLETED	0	2021-06-14 16:44:12.751	2m 18s	20.7s	98,4%	457 MB	969.8 MB	199.8 MB	169.7 KB
48	a8/3bd705	4562577	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_036_71_LivCan_314_036.mzML)	COMPLETED	0	2021-06-14 16:44:12.773	2m 18s	19s	98,2%	422.6 MB	955.9 MB	191 MB	141.2 KB
16	ed/6430a0	4562578	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_151_QC41_151.mzML)	COMPLETED	0	2021-06-14 16:44:12.792	2m 18s	20.1s	97,0%	426.3 MB	956.5 MB	190.7 MB	150.8 KB
74	3a/75ea42	4562579	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_080_91_LivCan_042_080.mzML)	COMPLETED	0	2021-06-14 16:44:12.815	2m 18s	18.1s	98,2%	445.4 MB	951.5 MB	184.4 MB	126.9 KB
40	aa/df9e47	4562580	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_023_72_LivCan_306_023.mzML)	COMPLETED	0	2021-06-14 16:44:12.836	2m 18s	20.4s	98,3%	433.8 MB	969.7 MB	201.3 MB	153 KB
36	52/d5e099	4562581	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_019_22_LivCan_086_019.mzML)	COMPLETED	0	2021-06-14 16:44:12.859	2m 18s	18.7s	98,2%	429.7 MB	953.8 MB	189.8 MB	137.7 KB
11	1e/4089e3	4562582	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_088_QC41_088.mzML)	COMPLETED	0	2021-06-14 16:44:12.881	2m 18s	19.1s	98,2%	426.5 MB	964.4 MB	191.8 MB	142.6 KB
5	c0/e4e1cc	4562583	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_013_QC41_013.mzML)	COMPLETED	0	2021-06-14 16:44:12.902	2m 18s	20.3s	98,4%	428.8 MB	965.5 MB	194.4 MB	156.3 KB
66	09/b4c5c9	4562584	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_067_21_LivCan_284_067.mzML)	COMPLETED	0	2021-06-14 16:44:12.925	2m 18s	19.4s	98,3%	417.6 MB	953.2 MB	186.3 MB	135.8 KB
72	99/abac91	4562585	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_078_21_LivCan_064_078.mzML)	COMPLETED	0	2021-06-14 16:44:12.946	2m 18s	19.1s	98,2%	429.9 MB	967.7 MB	194.6 MB	136.1 KB
27	c2/76976c	4562586	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_287_QC41_287.mzML)	COMPLETED	0	2021-06-14 16:44:12.967	2m 18s	19.2s	98,2%	459.2 MB	959.8 MB	195.3 MB	141.9 KB
93	a0/ef5270	4562587	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_095_21_LivCan_294_095.mzML)	COMPLETED	0	2021-06-14 16:44:12.993	2m 18s	18.9s	98,2%	420.9 MB	960.2 MB	188.4 MB	137.3 KB
69	17/0118f6	4562588	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_074_41_LivCan_241_074.mzML)	COMPLETED	0	2021-06-14 16:44:13.018	2m 18s	18.7s	98,2%	421 MB	962.4 MB	187.1 MB	136.3 KB
96	09/3532e6	4562589	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_098_32_LivCan_259_098.mzML)	COMPLETED	0	2021-06-14 16:44:13.039	2m 23s	18.7s	98,2%	443.1 MB	971.6 MB	190.1 MB	141.1 KB
117	ee/5b6511	4562590	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_130_72_LivCan_180_130.mzML)	COMPLETED	0	2021-06-14 16:44:13.058	2m 23s	20.3s	98,3%	431.8 MB	970.2 MB	196.6 MB	141.7 KB
89	d8/a844ff	4562591	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_091_32_LivCan_250_091.mzML)	COMPLETED	0	2021-06-14 16:44:13.086	2m 23s	18.5s	98,2%	442.2 MB	962.1 MB	185.8 MB	132.4 KB
99	95/e382c2	4562592	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_104_72_LivCan_372_104.mzML)	COMPLETED	0	2021-06-14 16:44:13.113	2m 23s	21.9s	98,4%	458.6 MB	968.9 MB	196.1 MB	177.1 KB
103	c8/72150c	4562593	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_110_71_LivCan_324_110.mzML)	COMPLETED	0	2021-06-14 16:44:13.170	2m 23s	20.1s	98,3%	425.5 MB	958.4 MB	189.7 MB	150.7 KB
113	94/1f64e9	4562594	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_123_25_LivCan_022_123.mzML)	COMPLETED	0	2021-06-14 16:44:13.284	2m 53s	22.7s	98,4%	484.3 MB	992.7 MB	213.9 MB	176.8 KB
90	98/15a0dd	4562595	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_092_71_LivCan_071_092.mzML)	COMPLETED	0	2021-06-14 16:44:13.354	2m 53s	18.4s	98,2%	443.8 MB	959.3 MB	188.3 MB	136.5 KB
91	bb/cdbeb0	4562596	process_masstrace_detection_pos_xcms_noncentroided (EPIC_Liver_Cancer_NR160809_093_71_LivCan_072_093.mzML)	COMPLETED	0	2021-06-14 16:44:13.393	2m 53s	19s	98,3%	420 MB	962.7 MB	187.6 MB	139 KB
